Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,latitude,longitude
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,46.27165265,-106.6701474
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,48.5096551,-111.8495966
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available,45.3516095,-111.7320026
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,45.6429135,-109.2419352
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,47.18522635,-114.876213
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Above the national average,Not Available,47.1177807,-104.7041237
Critical Access Hospitals,Government - Local,Yes,Y,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,46.3218215,-111.516308
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,48.50979975,-110.9718056
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,46.1323266,-112.9565178
Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,3,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,48.7069528,-119.4385898
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,48.62811905,-112.3264563
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Same as the national average,Below the national average,Same as the national average,Not Available,45.7285897,-107.6164121
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,,
Critical Access Hospitals,Government - Federal,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,,
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,33.4663468,-82.01761138
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available,48.7876906,-105.4184082
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,34.1562348,-118.3285236
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,47.71614835,-104.173036
Critical Access Hospitals,Voluntary non-profit - Private,Yes,,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,47.0585229,-109.4442015
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,46.45382705,-108.5456504
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,
Critical Access Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Above the national average,Not Available,33.9748962,-80.95984687
Critical Access Hospitals,Government - Local,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,40.7082656,-99.08139509
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Above the national average,Not Available,,
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,40.8082764,-96.62682808
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Above the national average,Not Available,40.9254888,-98.37152655
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,40.5915273,-98.38735968
Critical Access Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,39.92114,-75.16927021
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,41.2391169,-96.0312877
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Not Available,41.88666425,-103.6634246
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,41.12165595,-100.770169
Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,,
Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,41.32221005,-96.01990998
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,41.1359335,-96.04019534
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.321845,-89.035144
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,42.03521755,-97.45288025
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,40.7947309,-96.62356528
Childrens,Government - Hospital District or Authority,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,
Childrens,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41.2328724,-96.13566694
Childrens,Voluntary non-profit - Private,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41.2374612,-96.18046734
Acute Care Hospitals,Government - State,Yes,Y,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,41.13656665,-95.94819373
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,,
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,40.68227335,-99.11249847
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,40.1049171,-99.3651772
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average,40.52538105,-97.58608001
Acute Care Hospitals,Physician,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,40.10832745,-96.14990409
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,42.82496425,-98.46870707
Acute Care Hospitals,Government - Local,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40.1609252,-97.59393488
Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,41.232667,-103.6668243
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,,
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,41.19503415,-96.6355363
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,,
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,34.27396,-119.258206
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,41.41254715,-102.3485588
Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,40.10217395,-98.9542417
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,41.44438515,-97.73266566
Acute Care Hospitals,Government - Local,Yes,Y,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,40.9390836,-100.1533198
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,41.1696585,-97.54950556
Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,40.0267507,-98.06577118
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,40.09142075,-98.52815175
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,41.6619275,-103.0924345
Acute Care Hospitals,Proprietary,No,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available,,
Acute Care Hospitals,Government - Local,Yes,Y,3,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,43.0444216,-91.13740101
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,42.614565,-83.27657962
Acute Care Hospitals,Government - Local,Yes,Y,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average,37.78964365,-122.4165414
Acute Care Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,41.4555843,-97.06059676
Acute Care Hospitals,Government - Local,No,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available,40.39199115,-95.85355353
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,38.8588048,-83.89680709
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,42.13448155,-98.03063242
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,40.86362885,-99.98246234
Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Below the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,41.1070724,-98.00290685
Acute Care Hospitals,Government - Local,Yes,Y,2,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,42.46087255,-98.65044452
Acute Care Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,38.92011685,-78.15292588
Acute Care Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42.46599125,-97.9177819
Acute Care Hospitals,Government - Local,Yes,Y,2,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,41.2469981,-97.12241654
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,42.5752413,-99.53749043
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,41.68302625,-98.00553744
Acute Care Hospitals,Proprietary,Yes,Y,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,41.2913448,-99.92328405
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,40.88234975,-97.59223163
Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,39.2749141,-76.82504267
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,40.90990165,-97.09101692
Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,40.05590095,-101.5377328
Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,40.6564172,-95.86250501
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,42.5285696,-98.98256824
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,42.8791052,-100.537926
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,42.2420974,-97.00903157
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,42.3586393,-97.78580393
Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Below the national average,Above the national average,Not Available,42.36074245,-97.5958015
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available,,
Acute Care Hospitals,Government - Federal,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42.1054417,-96.71073866
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,40.3797467,-96.19703655
Acute Care Hospitals,Government - State,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40.52402315,-101.6504676
Acute Care Hospitals,Proprietary,No,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Not Available,,
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,41.60153515,-98.9429162
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,40.64067805,-96.93562159
Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41.1505121,-101.7186159
Acute Care Hospitals,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40.8489752,-101.7268695
Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,41.13622795,-102.9523859
Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,,
Acute Care Hospitals,Government - State,Yes,Y,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,42.11670125,-102.8699052
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available,40.78532165,-99.75953476
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,40.44785135,-99.38314557
Critical Access Hospitals,Proprietary,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,35.37542055,-97.57047513
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available,,
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available,41.4104379,-99.63210263
Critical Access Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,41.2642954,-95.95568716
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41.26082775,-96.0418497
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,39.52549275,-119.79596
Critical Access Hospitals,Government - Local,Yes,Y,2,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Below the national average,,
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,36.1950807,-115.1221445
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Same as the national average,31.7720199,-106.434898
Critical Access Hospitals,Proprietary,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40.8228313,-115.7306234
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,39.5324743,-119.8198131
Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,36.03898685,-114.9843277
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,39.20113405,-119.7841347
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,36.1634475,-115.1666141
Critical Access Hospitals,Government - State,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,36.1132888,-115.1250032
Critical Access Hospitals,Government - Local,No,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,39.5407921,-119.6977971
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,36.21563985,-115.2491356
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,,
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,36.1079348,-115.1225418
Critical Access Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,,
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available,,
Critical Access Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Same as the national average,,
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39.43624615,-119.7599474
Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,,
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,,
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.07886635,-115.2810573
Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.0727561,-115.0300009
Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,38.5170273,-118.6274043
Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,,
Critical Access Hospitals,Government - Local,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,39.2556238,-114.8596445
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,40.6398955,-116.9407253
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,40.1761966,-118.4818483
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,38.9193663,-119.7186868
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,36.8097699,-114.1160704
Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,40.97109675,-117.7264968
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,35.9674334,-114.8427039
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,37.6226482,-114.5135823
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,39.4762073,-118.76616
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average,38.98407755,-119.1673757
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,-33.8379419,151.0932196
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,43.52839765,-71.46278121
Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,52.47814205,13.37294932
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,42.9835476,-71.43805861
Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,43.29683245,-70.9599128
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,42.8773437,-71.31653798
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,43.2129963,-70.87403697
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,42.9490219,-72.29208574
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,43.0646234,-70.78940293
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,42.9909336,-71.4738779
Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,42.6384742,-83.291472
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Below the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,43.1757877,-84.84189547
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,42.9878542,-82.42978254
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Not Available,42.2736727,-84.95696688
Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,,
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,42.58781235,-82.89800797
